Player,Twitter,Tm,person,,,,,
Al Horford,Al_Horford,ATL,Jamie,,,,,
Dennis Schroder,DennisMike93,ATL,Jamie,,,,,
Jeff Teague,Teague0,ATL,Jamie,,,,,
Justin Holiday,NA,ATL,Jamie,,,,,
Kent Bazemore,KentBazemore20,ATL,Jamie,,,,,
Kyle Korver,KyleKorver,ATL,Jamie,,,,,
Lamar Patterson,LP21_,ATL,Jamie,,,,,
Mike Muscala,mikejawz,ATL,Jamie,,,,,
Mike Scott,mikescott,ATL,Jamie,,,,,
Paul Millsap,Paulmillsap4,ATL,Jamie,,,,,
Shelvin Mack,ShelvinMack,ATL,Jamie,,,,,
Thabo Sefolosha,ThaboSefolosha,ATL,Jamie,,,,,
Tiago Splitter,tiagosplitter,ATL,Jamie,,,,,
Tim Hardaway,TimHardawayFDN,ATL,Jamie,,,,,
Walter Tavares,waltertavares22,ATL,Jamie,,,,,
Amir Johnson,IamAmirJohnson,BOS,Jason,,,,,
Avery Bradley,Aabradley11,BOS,Jason,,,,,
David Lee,Dlee042,BOS,Jason,,,,,
Evan Turner,thekidet,BOS,Jason,,,,,
Isaiah Thomas,Isaiah_Thomas2,BOS,Jason,,,,,
Jae Crowder,CJC9BOSS,BOS,Jason,,,,,
James Young,realjamesyoung,BOS,Jason,,,,,
Jared Sullinger,Jared_Sully0,BOS,Jason,,,,,
Jonas Jerebko,JonasJerebko,BOS,Jason,,,,,
Jordan Mickey,Jmickey_02,BOS,Jason,,,,,
Kelly Olynyk,KellyOlynyk,BOS,Jason,,,,,
Marcus Smart,smart_MS3,BOS,Jason,,,,,
R.J. Hunter,RJHunter22,BOS,Jason,,,,,
Terry Rozier,T_Rozzay3,BOS,Jason,,,,,
Tyler Zeller,ZellerTyler,BOS,Jason,,,,,
Andrea Bargnani,AndreaBargnani,BRK,Mengfei,,,,,
Bojan Bogdanovic,NA,BRK,Mengfei,,,,,
Brook Lopez,BrookLopez1,BRK,Mengfei,,,,,
Donald Sloan,dsloan15,BRK,Mengfei,,,,,
Jarrett Jack,Jarrettjack03,BRK,Mengfei,,,,,
Joe Johnson,TheJoeJohnson2,BRK,Mengfei,,,,,
Markel Brown,iMarkelBrown22,BRK,Mengfei,,,,,
Rondae Hollis-Jefferson,RondaeHJ23,BRK,Mengfei,,,,,
Sergey Karasev,NA,BRK,Mengfei,,,,,
Shane Larkin,NA,BRK,Mengfei,,,,,
Thaddeus Young,yungsmoove21,BRK,Mengfei,,,,,
Thomas Robinson,Trobinson0,BRK,Mengfei,,,,,
Wayne Ellington,WayneElli22,BRK,Mengfei,,,,,
Willie Reed,NA,BRK,Mengfei,,,,,
Aaron Brooks,Thirty2zero,CHI,Jamie,,,,,
Bobby Portis,BPortistime,CHI,Jamie,,,,,
Cameron Bairstow,cbairstow41,CHI,Jamie,,,,,
Cristiano Felicio,NA,CHI,Jamie,,,,,
Derrick Rose,drose,CHI,Jamie,,,,,
Doug McDermott,dougmcd3,CHI,Jamie,,,,,
E'Twaun Moore,ETwaun55,CHI,Jamie,,,,,
Jimmy Butler,mr_2eight1,CHI,Jamie,,,,,
Joakim Noah,JoakimNoah,CHI,Jamie,,,,,
Kirk Hinrich,NA,CHI,Jamie,,,,,
Nikola Mirotic,threekola,CHI,Jamie,,,,,
Pau Gasol,paugasol,CHI,Jamie,,,,,
Taj Gibson,TajGibson22,CHI,Jamie,,,,,
Tony Snell,NA,CHI,Jamie,,,,,
Aaron Harrison,NA,CHO,Jason,,,,,
Al Jefferson,NA,CHO,Jason,,,,,
Brian Roberts,NA,CHO,Jason,,,,,
Cody Zeller,CodyZeller,CHO,Jason,,,,,
Frank Kaminsky,FSKPart3,CHO,Jason,,,,,
Jeremy Lamb,NA,CHO,Jason,,,,,
Jeremy Lin,JLin7,CHO,Jason,,,,,
Kemba Walker,KembaWalker,CHO,Jason,,,,,
Marvin Williams,NA,CHO,Jason,,,,,
Nicolas Batum,nicolas88batum,CHO,Jason,,,,,
P.J. Hairston,NA,CHO,Jason,,,,,
Spencer Hawes,spencerhawes00,CHO,Jason,,,,,
Troy Daniels,MrSuPeRsTar_30,CHO,Jason,,,,,
Tyler Hansbrough,THANS50,CHO,Jason,,,,,
Anderson Varejao,VAREJAOANDERSON,CLE,Mengfei,,,,,
Iman Shumpert,I_Am_Iman,CLE,Mengfei,,,,,
J.R. Smith,TheRealJRSmith,CLE,Mengfei,,,,,
James Jones,NA,CLE,Mengfei,,,,,
Jared Cunningham,J1Flight,CLE,Mengfei,,,,,
Joe Harris,joeharrisuva,CLE,Mengfei,,,,,
Kevin Love,kevinlove,CLE,Mengfei,,,,,
Kyrie Irving,KyrieIrving,CLE,Mengfei,,,,,
LeBron James,KingJames,CLE,Mengfei,,,,,
Matthew Dellavedova,matthewdelly,CLE,Mengfei,,,,,
Mo Williams,mowilliams,CLE,Mengfei,,,,,
Richard Jefferson,NA,CLE,Mengfei,,,,,
Sasha Kaun,NA,CLE,Mengfei,,,,,
Timofey Mozgov,TimofeyMozgov,CLE,Mengfei,,,,,
Tristan Thompson,RealTristan13,CLE,Mengfei,,,,,
Chandler Parsons,ChandlerParsons,DAL,Jamie,,,,,
Charlie Villanueva,CV31,DAL,Jamie,,,,,
Deron Williams,DeronWilliams,DAL,Jamie,,,,,
Devin Harris,NA,DAL,Jamie,,,,,
Dirk Nowitzki,swish41,DAL,Jamie,,,,,
Dwight Powell,DwightPowell33,DAL,Jamie,,,,,
J.J. Barea,jjbareapr,DAL,Jamie,,,,,
JaVale McGee,JaValeMcGee34,DAL,Jamie,,,,,
Jeremy Evans,JeremyEvans40,DAL,Jamie,,,,,
John Jenkins,JohnnyCashVU23,DAL,Jamie,,,,,
Justin Anderson,JusAnderson1,DAL,Jamie,,,,,
Raymond Felton,RFeltonGBMS,DAL,Jamie,,,,,
Salah Mejri,NA,DAL,Jamie,,,,,
Wesley Matthews,wessywes2,DAL,Jamie,,,,,
Zaza Pachulia,zaza27,DAL,Jamie,,,,,
Danilo Gallinari,gallinari8888,DEN,Jason,,,,,
Darrell Arthur,NA,DEN,Jason,,,,,
Emmanuel Mudiay,emmanuelmudiay,DEN,Jason,,,,,
Erick Green,NA,DEN,Jason,,,,,
Gary Harris,thats_G_,DEN,Jason,,,,,
J.J. Hickson,JJHickson31,DEN,Jason,,,,,
Jameer Nelson,jameernelson,DEN,Jason,,,,,
Joffrey Lauvergne,NA,DEN,Jason,,,,,
Jusuf Nurkic,nurkic23,DEN,Jason,,,,,
Kenneth Faried,KennethFaried35,DEN,Jason,,,,,
Kostas Papanikolaou,NA,DEN,Jason,,,,,
Mike Miller,m33m,DEN,Jason,,,,,
Nikola Jokic,NJokic15,DEN,Jason,,,,,
Randy Foye,randyfoye,DEN,Jason,,,,,
Sean Kilpatrick,NA,DEN,Jason,,,,,
Will Barton,WillTheThrillB5,DEN,Jason,,,,,
Andre Drummond,AndreDrummondd,DET,Mengfei,,,,,
Anthony Tolliver,ATolliver44,DET,Mengfei,,,,,
Aron Baynes,NA,DET,Mengfei,,,,,
Brandon Jennings,BRAND0NJENNINGS,DET,Mengfei,,,,,
Darrun Hilliard,NA,DET,Mengfei,,,,,
Ersan Ilyasova,NA,DET,Mengfei,,,,,
Jodie Meeks,Jmeeks20,DET,Mengfei,,,,,
Joel Anthony,NA,DET,Mengfei,,,,,
Kentavious Caldwell-Pope,CaldwellPope,DET,Mengfei,,,,,
Marcus Morris,MookMorris2,DET,Mengfei,,,,,
Reggie Bullock,ReggieBullock35,DET,Mengfei,,,,,
Reggie Jackson,Reggie_Jackson,DET,Mengfei,,,,,
Spencer Dinwiddie,SDinwiddie_25,DET,Mengfei,,,,,
Stanley Johnson,iAmSJ,DET,Mengfei,,,,,
Steve Blake,SteveBlake5,DET,Mengfei,,,,,
Andre Iguodala,andre,GSW,Jamie,,,,,
Andrew Bogut,AndrewMBogut,GSW,Jamie,,,,,
Brandon Rush,BRush_25,GSW,Jamie,,,,,
Draymond Green,Money23Green,GSW,Jamie,,,,,
Festus Ezeli,fezzyfel,GSW,Jamie,,,,,
Harrison Barnes,HBarnes,GSW,Jamie,,,,,
Ian Clark,IanClark,GSW,Jamie,,,,,
James Michael McAdoo,NA,GSW,Jamie,,,,,
Jason Thompson,jtthekid,GSW,Jamie,,,,,
Klay Thompson,KlayThompson,GSW,Jamie,,,,,
Leandro Barbosa,leandrinhooo20,GSW,Jamie,,,,,
Marreese Speights,Mospeights16,GSW,Jamie,,,,,
Shaun Livingston,NA,GSW,Jamie,,,,,
Stephen Curry,StephenCurry30,GSW,Jamie,,,,,
Chuck Hayes,c_hayes44,HOU,Jason,,,,,
Clint Capela,CapelaClint,HOU,Jason,,,,,
Corey Brewer,CoreyBrewer13,HOU,Jason,,,,,
Donatas Motiejunas,DonatasMot,HOU,Jason,,,,,
Dwight Howard,DwightHoward,HOU,Jason,,,,,
James Harden,JHarden13,HOU,Jason,,,,,
Jason Terry,jasonterry31,HOU,Jason,,,,,
Josh Smith,TooSmoove5,HOU,Jason,,,,,
K.J. McDaniels,KJMcDaniels,HOU,Jason,,,,,
Marcus Thornton,M3Thornton,HOU,Jason,,,,,
Montrezl Harrell,MONSTATREZZ,HOU,Jason,,,,,
Patrick Beverley,patbev21,HOU,Jason,,,,,
Sam Dekker,dekker,HOU,Jason,,,,,
Terrence Jones,TerrenceJones1,HOU,Jason,,,,,
Trevor Ariza,TrevorAriza,HOU,Jason,,,,,
Ty Lawson,TyLawson3,HOU,Jason,,,,,
C.J. Miles,masfresco,IND,Mengfei,,,,,
Chase Budinger,CBudinger,IND,Mengfei,,,,,
George Hill,George_Hill3,IND,Mengfei,,,,,
Glenn Robinson III,GRIII,IND,Mengfei,,,,,
Ian Mahinmi,ianmahinmi,IND,Mengfei,,,,,
Jordan Hill,jordanchill43,IND,Mengfei,,,,,
Joseph Young,NA,IND,Mengfei,,,,,
Lavoy Allen,mr_5hundred,IND,Mengfei,,,,,
Monta Ellis,NA,IND,Mengfei,,,,,
Myles Turner,Original_Turner,IND,Mengfei,,,,,
Paul George,Yg_Trece,IND,Mengfei,,,,,
Rodney Stuckey,NA,IND,Mengfei,,,,,
Shayne Whittington,NA,IND,Mengfei,,,,,
Solomon Hill,NA,IND,Mengfei,,,,,
Austin Rivers,AustinRivers25,LAC,Jamie,,,,,
Blake Griffin,blakegriffin32,LAC,Jamie,,,,,
Branden Dawson,219MadeMe,LAC,Jamie,,,,,
C.J. Wilcox,UCjwilcox23W,LAC,Jamie,,,,,
Chris Paul,CP3,LAC,Jamie,,,,,
Cole Aldrich,colea45,LAC,Jamie,,,,,
DeAndre Jordan,deandrejordan,LAC,Jamie,,,,,
J.J. Redick,JJRedick,LAC,Jamie,,,,,
Jamal Crawford,JCrossover,LAC,Jamie,,,,,
Jeff Ayres,NA,LAC,Jamie,,,,,
Lance Stephenson,StephensonLance,LAC,Jamie,,,,,
Luc Mbah a Moute,mbahamoute,LAC,Jamie,,,,,
Pablo Prigioni,PPrigioni9,LAC,Jamie,,,,,
Paul Pierce,paulpierce34,LAC,Jamie,,,,,
Wesley Johnson,NA,LAC,Jamie,,,,,
Anthony Brown,TwoShotOne,LAL,Jason,,,,,
Brandon Bass,NA,LAL,Jason,,,,,
D'Angelo Russell,Dloading,LAL,Jason,,,,,
Jordan Clarkson,JClark5on,LAL,Jason,,,,,
Julius Randle,J30_RANDLE,LAL,Jason,,,,,
Kobe Bryant,kobebryant,LAL,Jason,,,,,
Larry Nance Jr.,Larrydn22,LAL,Jason,,,,,
Lou Williams,TeamLou23,LAL,Jason,,,,,
Marcelo Huertas,NA,LAL,Jason,,,,,
Metta World Peace,MettaWorldPeace,LAL,Jason,,,,,
Nick Young,NickSwagyPYoung,LAL,Jason,,,,,
Robert Sacre,Bobby_Sacre,LAL,Jason,,,,,
Roy Hibbert,Hoya2aPacer,LAL,Jason,,,,,
Ryan Kelly,RyanKelly34,LAL,Jason,,,,,
Tarik Black,NA,LAL,Jason,,,,,
Beno Udrih,NA,MEM,Mengfei,,,,,
Brandan Wright,bwright34,MEM,Mengfei,,,,,
Courtney Lee,CourtneyLee2211,MEM,Mengfei,,,,,
Elliot Williams,ewill901,MEM,Mengfei,,,,,
James Ennis,NA,MEM,Mengfei,,,,,
JaMychal Green,NA,MEM,Mengfei,,,,,
Jarell Martin,MartinJarell,MEM,Mengfei,,,,,
Jarnell Stokes,JarnellStokes,MEM,Mengfei,,,,,
Jeff Green,jeff_green22,MEM,Mengfei,,,,,
Jordan Adams,jordanadams1231,MEM,Mengfei,,,,,
Marc Gasol,MarcGasol,MEM,Mengfei,,,,,
Matt Barnes,Matt_Barnes22,MEM,Mengfei,,,,,
Mike Conley,mconley11,MEM,Mengfei,,,,,
Russ Smith,Russdiculous_2,MEM,Mengfei,,,,,
Ryan Hollins,TheRyanHollins,MEM,Mengfei,,,,,
Tony Allen,aa000G9,MEM,Mengfei,,,,,
Vince Carter,mrvincecarter15,MEM,Mengfei,,,,,
Zach Randolph,MacBo50,MEM,Mengfei,,,,,
Amar'e Stoudemire,Amareisreal,MIA,Jamie,,,,,
Chris Andersen,NA,MIA,Jamie,,,,,
Chris Bosh,chrisbosh,MIA,Jamie,,,,,
Dwyane Wade,DwyaneWade,MIA,Jamie,,,,,
Gerald Green,NA,MIA,Jamie,,,,,
Goran Dragic,Goran_Dragic,MIA,Jamie,,,,,
Hassan Whiteside,youngwhiteside,MIA,Jamie,,,,,
Josh McRoberts,NA,MIA,Jamie,,,,,
Josh Richardson,J_Rich1,MIA,Jamie,,,,,
Justise Winslow,IAmJustise,MIA,Jamie,,,,,
Luol Deng,LuolDeng9,MIA,Jamie,,,,,
Mario Chalmers,mchalmers15,MIA,Jamie,,,,,
Tyler Johnson,Pusha_t650,MIA,Jamie,,,,,
Udonis Haslem,ThisIsUD,MIA,Jamie,,,,,
Chris Copeland,NA,MIL,Jason,,,,,
Damien Inglis,DamienINGLIS,MIL,Jason,,,,,
Giannis Antetokounmpo,NA,MIL,Jason,,,,,
Greg Monroe,M10OSE,MIL,Jason,,,,,
Greivis Vasquez,greivisvasquez,MIL,Jason,,,,,
Jabari Parker,JabariParker,MIL,Jason,,,,,
Jerryd Bayless,jerrydbayless,MIL,Jason,,,,,
John Henson,_John_Henson_,MIL,Jason,,,,,
Johnny O'Bryant,OBryant_The3rd,MIL,Jason,,,,,
Khris Middleton,Khris22m,MIL,Jason,,,,,
Michael Carter-Williams,MCW1,MIL,Jason,,,,,
Miles Plumlee,milesplumlee13,MIL,Jason,,,,,
O.J. Mayo,NA,MIL,Jason,,,,,
Rashad Vaughn,ShowtimeMr1,MIL,Jason,,,,,
Tyler Ennis,tdot_ennis,MIL,Jason,,,,,
Adreian Payne,Adreian_Payne,MIN,Mengfei,,,,,
Andre Miller,NA,MIN,Mengfei,,,,,
Andrew Wiggins,22wiggins,MIN,Mengfei,,,,,
Damjan Rudez,NA,MIN,Mengfei,,,,,
Gorgui Dieng,NA,MIN,Mengfei,,,,,
Karl-Anthony Towns,KarlTowns,MIN,Mengfei,,,,,
Kevin Garnett,NA,MIN,Mengfei,,,,,
Kevin Martin,NA,MIN,Mengfei,,,,,
Nemanja Bjelica,NA,MIN,Mengfei,,,,,
Nikola Pekovic,NA,MIN,Mengfei,,,,,
Ricky Rubio,rickyrubio9,MIN,Mengfei,,,,,
Shabazz Muhammad,NA,MIN,Mengfei,,,,,
Tayshaun Prince,NA,MIN,Mengfei,,,,,
Tyus Jones,Tyusjones06,MIN,Mengfei,,,,,
Zach LaVine,ZachLaVine,MIN,Mengfei,,,,,
Alexis Ajinca,NA,NOP,Jamie,,,,,
Alonzo Gee,GeeAlonzo,NOP,Jamie,,,,,
Anthony Davis,AntDavis23,NOP,Jamie,,,,,
Bryce Dejean-Jones,NA,NOP,Jamie,,,,,
Dante Cunningham,DlamarC33,NOP,Jamie,,,,,
Eric Gordon,TheofficialEG10,NOP,Jamie,,,,,
Jimmer Fredette,jimmerfredette,NOP,Jamie,,,,,
Jrue Holiday,Jrue_Holiday11,NOP,Jamie,,,,,
Kendrick Perkins,KendrickPerkins,NOP,Jamie,,,,,
Luke Babbitt,RealBabbitt08,NOP,Jamie,,,,,
Nate Robinson,nate_robinson,NOP,Jamie,,,,,
Norris Cole,NA,NOP,Jamie,,,,,
Omer Asik,AsikOmer,NOP,Jamie,,,,,
Ryan Anderson,ryananderson33,NOP,Jamie,,,,,
Toney Douglas,NA,NOP,Jamie,,,,,
Tyreke Evans,TyrekeEvans,NOP,Jamie,,,,,
Arron Afflalo,arronafflalo,NYK,Jason,,,,,
Carmelo Anthony,carmeloanthony,NYK,Jason,,,,,
Cleanthony Early,Clearly_BallLyf,NYK,Jason,,,,,
Derrick Williams,RealDwill7,NYK,Jason,,,,,
Jerian Grant,JerianGrant,NYK,Jason,,,,,
Jose Calderon,JmCalderon3,NYK,Jason,,,,,
Kevin Seraphin,kevin_seraphin,NYK,Jason,,,,,
Kristaps Porzingis,kporzee,NYK,Jason,,,,,
Kyle O'Quinn,Kyle_OQuinn,NYK,Jason,,,,,
Lance Thomas,NA,NYK,Jason,,,,,
Langston Galloway,LangGalloway10,NYK,Jason,,,,,
Lou Amundson,LouAmundson17,NYK,Jason,,,,,
Robin Lopez,eegabeeva88,NYK,Jason,,,,,
Sasha Vujacic,SashaVujacic,NYK,Jason,,,,,
Andre Roberson,NA,OKC,Mengfei,,,,,
Anthony Morrow,MrAnthonyMorrow,OKC,Mengfei,,,,,
Cameron Payne,campayne,OKC,Mengfei,,,,,
D.J. Augustin,NA,OKC,Mengfei,,,,,
Dion Waiters,dionwaiters3,OKC,Mengfei,,,,,
Enes Kanter,Enes_Kanter,OKC,Mengfei,,,,,
Kevin Durant,KDTrey5,OKC,Mengfei,,,,,
Kyle Singler,KyleSingler,OKC,Mengfei,,,,,
Mitch McGary,mitchmcgary,OKC,Mengfei,,,,,
Nick Collison,nickcollison4,OKC,Mengfei,,,,,
Russell Westbrook,russwest44,OKC,Mengfei,,,,,
Serge Ibaka,sergeibaka9,OKC,Mengfei,,,,,
Steve Novak,stevenovak20,OKC,Mengfei,,,,,
Steven Adams,RealStevenAdams,OKC,Mengfei,,,,,
Aaron Gordon,Double0AG,ORL,Jamie,,,,,
Andrew Nicholson,nicholaf44,ORL,Jamie,,,,,
C.J. Watson,quietstorm_32,ORL,Jamie,,,,,
Channing Frye,Channing_Frye,ORL,Jamie,,,,,
Devyn Marble,DevMarble,ORL,Jamie,,,,,
Dewayne Dedmon,dedmon_21,ORL,Jamie,,,,,
Elfrid Payton,elfrid,ORL,Jamie,,,,,
Evan Fournier,EvanFourmizz,ORL,Jamie,,,,,
Jason Smith,JasonSmith014,ORL,Jamie,,,,,
Keith Appling,NA,ORL,Jamie,,,,,
Mario Hezonja,MarioHezonja,ORL,Jamie,,,,,
Nikola Vucevic,NikolaVucevic,ORL,Jamie,,,,,
Shabazz Napier,ShabazzNapier,ORL,Jamie,,,,,
Tobias Harris,tobias31,ORL,Jamie,,,,,
Victor Oladipo,VicOladipo,ORL,Jamie,,,,,
Carl Landry,CarlLandry24,PHI,Jason,,,,,
Christian Wood,NA,PHI,Jason,,,,,
Hollis Thompson,htdahot_twitta,PHI,Jason,,,,,
Isaiah Canaan,SiP03,PHI,Jason,,,,,
Ish Smith,NA,PHI,Jason,,,,,
Jahlil Okafor,NA,PHI,Jason,,,,,
JaKarr Sampson,NA,PHI,Jason,,,,,
Jerami Grant,JeramiGrant,PHI,Jason,,,,,
Kendall Marshall,KButter5,PHI,Jason,,,,,
Nerlens Noel,NerlensNoel3,PHI,Jason,,,,,
Nik Stauskas,NStauskas11,PHI,Jason,,,,,
Phil Pressey,philpressey,PHI,Jason,,,,,
Richaun Holmes,NA,PHI,Jason,,,,,
Robert Covington,Holla_At_Rob33,PHI,Jason,,,,,
T.J. McConnell,NA,PHI,Jason,,,,,
Tony Wroten,TWroten_LOE,PHI,Jason,,,,,
Alex Len,alexlen,PHO,Mengfei,,,,,
Archie Goodwin,A1Laflare10,PHO,Mengfei,,,,,
Brandon Knight,BrandonKnight12,PHO,Mengfei,,,,,
Bryce Cotton,NA,PHO,Mengfei,,,,,
Cory Jefferson,CoryJay34,PHO,Mengfei,,,,,
Devin Booker,DevinBook,PHO,Mengfei,,,,,
Eric Bledsoe,EBled2,PHO,Mengfei,,,,,
Jon Leuer,JLeu30,PHO,Mengfei,,,,,
Lorenzo Brown,NA,PHO,Mengfei,,,,,
Markieff Morris,Keefmorris,PHO,Mengfei,,,,,
Mirza Teletovic,NA,PHO,Mengfei,,,,,
P.J. Tucker,NA,PHO,Mengfei,,,,,
Ronnie Price,NA,PHO,Mengfei,,,,,
Sonny Weems,Sonny13,PHO,Mengfei,,,,,
T.J. Warren,tonywarrenjr,PHO,Mengfei,,,,,
Tyson Chandler,tysonchandler,PHO,Mengfei,,,,,
Al-Farouq Aminu,farouq1,POR,Jamie,,,,,
Allen Crabbe,allencrabbe,POR,Jamie,,,,,
C.J. McCollum,CJMcCollum,POR,Jamie,,,,,
Chris Kaman,ChrisKaman,POR,Jamie,,,,,
Cliff Alexander,NA,POR,Jamie,,,,,
Damian Lillard,Dame_Lillard,POR,Jamie,,,,,
Ed Davis,eddavis32,POR,Jamie,,,,,
Gerald Henderson,GhJr09,POR,Jamie,,,,,
Luis Montero,NA,POR,Jamie,,,,,
Mason Plumlee,NA,POR,Jamie,,,,,
Maurice Harkless,moe_harkless,POR,Jamie,,,,,
Meyers Leonard,MeyersLeonard11,POR,Jamie,,,,,
Noah Vonleh,NoahVonleh,POR,Jamie,,,,,
Pat Connaughton,PlanetPat24,POR,Jamie,,,,,
Tim Frazier,psufraz23,POR,Jamie,,,,,
Ben McLemore,BenMcLemore,SAC,Jason,,,,,
Caron Butler,realtuffjuice,SAC,Jason,,,,,
Darren Collison,Darren_Collison,SAC,Jason,,,,,
DeMarcus Cousins,boogiecousins,SAC,Jason,,,,,
Eric Moreland,NA,SAC,Jason,,,,,
James Anderson,25_Anderson,SAC,Jason,,,,,
Kosta Koufos,kostakoufos,SAC,Jason,,,,,
Marco Belinelli,marcobelinelli,SAC,Jason,,,,,
Omri Casspi,Casspi18,SAC,Jason,,,,,
Quincy Acy,QuincyAcy,SAC,Jason,,,,,
Rajon Rondo,RajonRondo,SAC,Jason,,,,,
Rudy Gay,rudygay22,SAC,Jason,,,,,
Seth Curry,sdotcurry,SAC,Jason,,,,,
Willie Cauley-Stein,THEwillieCS15,SAC,Jason,,,,,
Boban Marjanovic,NA,SAS,Mengfei,,,,,
Boris Diaw,theborisdiaw,SAS,Mengfei,,,,,
Danny Green,DGreen_14,SAS,Mengfei,,,,,
David West,D_West30,SAS,Mengfei,,,,,
Jonathon Simmons,NA,SAS,Mengfei,,,,,
Kawhi Leonard,kawhileonard,SAS,Mengfei,,,,,
Kyle Anderson,KyleAnderson5,SAS,Mengfei,,,,,
LaMarcus Aldridge,aldridge_12,SAS,Mengfei,,,,,
Manu Ginobili,manuginobili,SAS,Mengfei,,,,,
Matt Bonner,NA,SAS,Mengfei,,,,,
Patrick Mills,Patty_Mills,SAS,Mengfei,,,,,
Rasual Butler,RasualButler45,SAS,Mengfei,,,,,
Ray McCallum,RayMac3,SAS,Mengfei,,,,,
Tim Duncan,NA,SAS,Mengfei,,,,,
Tony Parker,tp9network,SAS,Mengfei,,,,,
Anthony Bennett,AnthonyBennett,TOR,Jamie,,,,,
Bismack Biyombo,bismackbiyombo0,TOR,Jamie,,,,,
Bruno Caboclo,Bruno_Caboclo,TOR,Jamie,,,,,
Cory Joseph,Cory_Joe,TOR,Jamie,,,,,
Delon Wright,delonwright,TOR,Jamie,,,,,
DeMar DeRozan,DeMar_DeRozan,TOR,Jamie,,,,,
DeMarre Carroll,DeMarreCarroll1,TOR,Jamie,,,,,
James Johnson,50JMJ,TOR,Jamie,,,,,
Jonas Valanciunas,JValanciunas,TOR,Jamie,,,,,
Kyle Lowry,Klow7,TOR,Jamie,,,,,
Lucas Nogueira,NA,TOR,Jamie,,,,,
Luis Scola,LScola4,TOR,Jamie,,,,,
Norman Powell,npowell2404,TOR,Jamie,,,,,
Patrick Patterson,pdpatt,TOR,Jamie,,,,,
Terrence Ross,T_DotFlight31,TOR,Jamie,,,,,
Alec Burks,AlecBurks10,UTA,Mengfei,,,,,
Chris Johnson,NA,UTA,Mengfei,,,,,
Derrick Favors,dfavors14,UTA,Mengfei,,,,,
Elijah Millsap,NA,UTA,Mengfei,,,,,
Gordon Hayward,gordonhayward,UTA,Mengfei,,,,,
J.J. O'Brien,NA,UTA,Mengfei,,,,,
Jeff Withey,JeffWithey,UTA,Mengfei,,,,,
Joe Ingles,Joeingles7,UTA,Mengfei,,,,,
Raul Neto,NA,UTA,Mengfei,,,,,
Rodney Hood,rodneymhood,UTA,Mengfei,,,,,
Rudy Gobert,NA,UTA,Mengfei,,,,,
Tibor Pleiss,NA,UTA,Mengfei,,,,,
Trevor Booker,35_Fitz,UTA,Mengfei,,,,,
Trey Burke,TreyBurke,UTA,Mengfei,,,,,
Trey Lyles,TreyMambaLyles,UTA,Mengfei,,,,,
Bradley Beal,RealDealBeal23,WAS,Jamie,,,,,
DeJuan Blair,DeJuan45,WAS,Jamie,,,,,
Drew Gooden,DrewGooden,WAS,Jamie,,,,,
Garrett Temple,GTemp14,WAS,Jamie,,,,,
Gary Neal,GNeal14,WAS,Jamie,,,,,
Jared Dudley,JaredDudley619,WAS,Jamie,,,,,
Jarell Eddie,NA,WAS,Jamie,,,,,
John Wall,JohnWall,WAS,Jamie,,,,,
Kelly Oubre,KELLYOUBREJR,WAS,Jamie,,,,,
Kris Humphries,KrisHumphries,WAS,Jamie,,,,,
Marcin Gortat,MGortat,WAS,Jamie,,,,,
Nene Hilario,NeneHilario42,WAS,Jamie,,,,,
Otto Porter,NA,WAS,Jamie,,,,,
Ramon Sessions,NA,WAS,Jamie,,,,,
